Generation,Fitness,Mutation rate
65,1577.565267087667,0.18740739777240392
66,1575.333793090639,0.18721999037463152
67,1559.9390219167906,0.1870327703842569
68,1580.9407017087667,0.18684573761387263
69,1574.7828815007429,0.18665889187625875
70,1564.101103640416,0.1864722329843825
71,1574.4752659732542,0.18628576075139813
72,1530.7272481426448,0.18609947499064675
73,1517.1777708023774,0.1859133755156561
74,1537.058691307578,0.18572746214014044
75,1517.1909179049035,0.1855417346780003
76,1533.748383729569,0.1853561929433223
77,1546.6125464338782,0.185170836750379
78,1530.2150356612185,0.1849856659136286
79,1558.5605312035661,0.18480068024771498
80,1545.1257466567608,0.18461587956746728
81,1542.2867767459138,0.1844312636878998
82,1515.4275211738484,0.18424683242421191
83,1554.7573027488856,0.1840625855917877
84,1568.3473328380387,0.18387852300619592
85,1540.48385141159,0.18369464448318973
86,1512.6504687964339,0.18351094983870653
87,1518.4741248142645,0.18332743888886782
88,1530.8138878157504,0.18314411144997894
89,1499.1892247399703,0.18296096733852896
90,1508.60523551263,0.18277800637119043
91,1513.7962529717681,0.18259522836481923
92,1533.751265973254,0.18241263313645442
93,1537.8632403417535,0.18223022050331797
94,1562.3214947994056,0.18204799028281465
95,1524.8839773402674,0.18186594229253183
96,1528.9716519316494,0.1816840763502393
97,1528.5754606240714,0.18150239227388906
98,1505.517559063893,0.18132088988161518
99,1470.5080534918277,0.18113956899173356
100,1494.77767756315,0.18095842942274182
101,1487.2017994056464,0.1807774709933191
102,1526.206809435364,0.18059669352232577
103,1519.0150182020802,0.18041609682880344
104,1493.5684691679048,0.18023568073197463
105,1475.2345794947994,0.18005544505124266
106,1475.4326073551263,0.17987538960619143
107,1467.226293833581,0.17969551421658522
108,1490.0756641901933,0.17951581870236863
109,1504.3788447251115,0.17933630288366625
110,1461.8753335809806,0.1791569665807826
111,1460.031838410104,0.17897780961420182
112,1462.178350668648,0.1787988318045876
113,1458.5664517087666,0.17862003297278303
114,1461.9754327637445,0.17844141293981025
115,1483.9012990341753,0.17826297152687043
116,1481.5294164190193,0.17808470855534356
117,1485.104897102526,0.1779066238467882
118,1480.2153629271918,0.17772871722294142
119,1495.9052488855868,0.1775509885057185
120,1465.959762630015,0.17737343751721277
121,1475.2693436106983,0.17719606407969554
122,1479.4032262258545,0.17701886801561584
123,1433.5460460624072,0.17684184914760023
124,1433.591250371471,0.17666500729845264
125,1426.904781203566,0.17648834229115418
126,1422.4863632986628,0.17631185394886303
127,1427.4039320208024,0.17613554209491417
128,1402.1790668647845,0.17595940655281925
129,1395.452262630015,0.17578344714626642
130,1417.7319179049034,0.17560766369912015
131,1405.4491289004457,0.17543205603542103
132,1397.4931601040118,0.1752566239793856
133,1385.2588889301635,0.17508136735540622
134,1417.1716701337295,0.1749062859880508
135,1428.9874973997028,0.17473137970206276
136,1425.0765917533433,0.1745566483223607
137,1436.2750854383357,0.17438209167403834
138,1435.3814156760773,0.1742077095823643
139,1425.541982540862,0.17403350187278194
140,1442.1745679791977,0.17385946837090915
141,1441.3193428677564,0.17368560890253826
142,1441.3079372213967,0.1735119232936357
143,1428.989471768202,0.1733384113703421
144,1427.8056047548291,0.17316507295897174
145,1424.6530118870728,0.17299190788601276
146,1416.4351500742941,0.17281891597812676
147,1386.706145988113,0.17264609706214865
148,1378.6101864784546,0.17247345096508648
149,1398.9316783060922,0.1723009775141214
150,1384.4537165676077,0.1721286765366073
151,1405.7057559435364,0.1719565478600707
152,1380.2306132986628,0.17178459131221063
153,1377.4163714710253,0.17161280672089843
154,1367.8955702080239,0.17144119391417753
155,1380.721806835067,0.17126975272026335
156,1383.8968354383358,0.17109848296754307
157,1405.2529643387816,0.17092738448457553
158,1397.542336181278,0.17075645710009096
159,1422.6836251857355,0.17058570064299086
160,1391.17976448737,0.17041511494234787
161,1401.2133569836553,0.17024469982740553
162,1397.7197288261516,0.17007445512757813
163,1403.5900657503714,0.16990438067245056
164,1394.5009082466568,0.1697344762917781
165,1424.5994179049035,0.1695647418154863
166,1426.4256426448737,0.16939517707367083
167,1414.7641236998513,0.16922578189659715
168,1418.50722102526,0.16905655611470055
169,1393.5313202080238,0.16888749955858584
170,1440.9747548291234,0.16871861205902725
171,1435.5372410846953,0.16854989344696822
172,1412.2513124071322,0.16838134355352125
173,1403.188880757801,0.16821296220996773
174,1416.5377715453194,0.16804474924775775
175,1372.2781359583953,0.16787670449851
176,1355.4654624814264,0.1677088277940115
177,1374.7313317236255,0.16754111896621748
178,1403.0371422734027,0.16737357784725126
179,1405.2580620356612,0.16720620426940402
180,1374.3776649331353,0.16703899806513461
181,1369.3147511144132,0.16687195906706948
182,1358.6851556463596,0.16670508710800241
183,1366.8713807578008,0.1665383820208944
184,1365.7652373699852,0.16637184363887353
185,1354.7159918276375,0.16620547179523465
186,1360.5500557206537,0.1660392663234394
187,1357.59570653789,0.16587322705711596
188,1330.3995208023773,0.16570735383005886
189,1330.0093016344724,0.1655416464762288
190,1332.3578852154533,0.16537610482975257
191,1346.3814925705794,0.16521072872492282
192,1340.5128640416046,0.1650455179961979
193,1354.5134323922734,0.1648804724782017
194,1373.0944323922733,0.1647155920057235
195,1385.5926341010402,0.16455087641371777
196,1382.9961983655276,0.16438632553730406
197,1395.286660475483,0.16422193921176675
198,1397.2459888558692,0.164057717272555
199,1375.8009179049034,0.16389365955528246
